Price,Close,High,Low,Open,Volume
Ticker,VTI,VTI,VTI,VTI,VTI
Date,,,,,
2020-03-16,111.2515640258789,118.20594014804941,110.82672907662601,111.8056962620273,14652900
2020-03-17,116.8298568725586,117.63335328648675,108.9796293356673,112.86780001133958,16645800
2020-03-18,110.09713745117188,113.00634098803577,104.36185410224438,109.4414133727076,15388000
2020-03-19,110.90987396240234,113.41271776486684,105.83031425389109,108.43474981421986,11083500
2020-03-20,106.38442993164062,113.28339515961167,106.0242436145812,111.8888234688944,12264900
2020-03-23,103.35518646240234,106.11661776094064,101.12017491434898,104.96217241333723,16443000
2020-03-24,113.16334533691406,113.20952596753793,108.05608044008275,108.63791833659869,10986900
2020-03-25,114.72415924072266,119.16646257703616,111.37164552209475,114.0961407048339,14428100
2020-03-26,121.6889419555664,122.1715807278459,115.70241689573619,115.86947599247638,10549100
2020-03-27,117.8093032836914,121.13205300119881,116.49134067008269,117.98565288733478,9731500
2020-03-30,121.38263702392578,121.74461251555381,117.54012251189381,118.59820580760264,10416300
2020-03-31,119.64701843261719,122.15300381355854,118.82097103246818,121.55899235909578,8662400
2020-04-01,114.12456512451172,116.593431125066,113.02007169466633,115.21049171219515,7911500
2020-04-02,116.50062561035156,117.0667939869389,113.25212178194779,113.586254170792,6244300
2020-04-03,114.51438903808594,116.98325515079844,113.10361346023295,115.87876167077697,6584400
2020-04-06,122.52426147460938,123.25750302868103,118.59821705279373,119.20150487525953,9369400
2020-04-07,122.66348266601562,127.41557418315041,122.58922946576665,127.17426190410367,10469900
2020-04-08,126.97012329101562,127.57341132708244,122.90484735841537,124.12071393601074,6610400
2020-04-09,129.3461151123047,130.66407755357363,127.90748945014178,128.93772959144815,9311600
